Indicators,sub indicators,NFHS-5 (2019-20),STATE/UT
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),23.2,Andaman & Nicobar Islands
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),(0.0),Andaman & Nicobar Islands
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.4,Andaman & Nicobar Islands
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),28.8,Andhra Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.5,Andhra Pradesh
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.8,Andhra Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),26.6,Assam
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,Assam
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),7.4,Assam
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),40.6,Bihar
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.9,Bihar
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),7.1,Bihar
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),21.8,Dadra & Nagar Haveli and Daman & Diu
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.3,Dadra & Nagar Haveli and Daman & Diu
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),4.4,Dadra & Nagar Haveli and Daman & Diu
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),6.0,Goa
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.9,Goa
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.6,Goa
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),10.0,Gujarat
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,Gujarat
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.0,Gujarat
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),6.0,Himachal Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,Himachal Pradesh
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),0.0,Himachal Pradesh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),5.9,Jammu & Kashmir
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.3,Jammu & Kashmir
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.4,Jammu & Kashmir
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),44.5,Karnataka
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),4.9,Karnataka
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),10.9,Karnataka
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),9.9,Kerala
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.5,Kerala
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.8,Kerala
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),1.0,Lakshadweep
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,Lakshadweep
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.0,Lakshadweep
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),(11.7),Ladakh
Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),(0.0),Ladakh
Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),(6.1),Ladakh
